Name,Album,Artist,PreviewURL,Image,Language,SpotifyURL
Kasari,Kasari,Yabesh Thapa,null,https://i.scdn.co/image/ab67616d0000b273d68f0d21c885b641d9c8a170,Nepali,https://open.spotify.com/track/2rXfg1yLOb8tKgSM7Xj5UH
Sparsha Sangeet,Sparsha Sangeet,Purna Rai,null,https://i.scdn.co/image/ab67616d0000b273f8b946913cfb869b62ee1aa9,Nepali,https://open.spotify.com/track/29MwuBDyKBel7ohTSaxYpD
Bhikhaari,Bhikhaari,Oasis Thapa,null,https://i.scdn.co/image/ab67616d0000b27306940cc1ebb19cf20b5e45b0,Nepali,https://open.spotify.com/track/606UwPF1MMoE220tv9ITut
Ekkasi - Alternate Version,Ekkasi (Alternate Version),Yabesh Thapa,null,https://i.scdn.co/image/ab67616d0000b27351e0b68a5e4ff88d4f4badf5,Nepali,https://open.spotify.com/track/6E6OGQ2sOdmsQI23AW8wEo
Aau Na,Aau Na,Lov X,null,https://i.scdn.co/image/ab67616d0000b273a9abaf5680b7461e34a28653,Nepali,https://open.spotify.com/track/5NfLlhEk92HbOmDxZlsL7P
K Garu,K Garu,John Rai,null,https://i.scdn.co/image/ab67616d0000b273ae4929d6a51329e65bc9c6f1,Nepali,https://open.spotify.com/track/0cR36MAMtGeUON8XYJwA4n
Chitta Bujhaunu,Chitta Bujhaunu,Salil Maharjan,null,https://i.scdn.co/image/ab67616d0000b2738ab0cdbf18ac1ce596b4eefb,Nepali,https://open.spotify.com/track/34GzkQK4XJDRvV4D1Toq3l
Kalo/Seto,Kalo/Seto,Purna Rai,null,https://i.scdn.co/image/ab67616d0000b273d16c735d5ccc975761f6e3f8,Nepali,https://open.spotify.com/track/70b6wBQA3H4LqsXkAhaS1X
JHUT,JHUT,Lov X,null,https://i.scdn.co/image/ab67616d0000b27310b8f62a6e7aafe5f6cd0d90,Nepali,https://open.spotify.com/track/0wBM8WiqjkHuqXSMat980Q
Thamana Haat,Thamana Haat,Samir Shrestha,null,https://i.scdn.co/image/ab67616d0000b2733dd5ec76c7af61e2648abde5,Nepali,https://open.spotify.com/track/3M8EELHJKXwavskNZ1S3H4
Chitthi Bhitra,Chitthi Bhitra,Sajjan Raj Vaidya,null,https://i.scdn.co/image/ab67616d0000b273fe824ddbaa151e81cb04bea0,Nepali,https://open.spotify.com/track/6XPLnH0wby09UGaJYtv4NT
Risaune Bhaye,Risaune Bhaye,Sushant KC,null,https://i.scdn.co/image/ab67616d0000b273f74308b91630e9669c2f8f66,Nepali,https://open.spotify.com/track/5DRxbKcBMgMT4nR8eMBjgR
Timilai Samjhera,Timilai Samjhera,Lov X,null,https://i.scdn.co/image/ab67616d0000b2737b7e6c9eb199eb21a1837fbf,Nepali,https://open.spotify.com/track/12dqqu9hlytclyAMpnhnxv
Naganya Maya,Naganya Maya,Sajjan Raj Vaidya,null,https://i.scdn.co/image/ab67616d0000b273586c6aae9b44133d3690d343,Nepali,https://open.spotify.com/track/4sakBPqSpuj6FJti1rPme7
Mann cha?,Mann cha?,Purna Rai,null,https://i.scdn.co/image/ab67616d0000b273bbcd8429eddeb509a1fafb03,Nepali,https://open.spotify.com/track/7ueLkxQ9mkV3M5aDL3Sx8h
Sadhana,Sadhana,John Rai,null,https://i.scdn.co/image/ab67616d0000b27351d21f485346cde52cae901f,Nepali,https://open.spotify.com/track/3HqsyASz8AmUqqRzZBU1af
Sakdina Bhulna,Sakdina Bhulna,Lov X,null,https://i.scdn.co/image/ab67616d0000b273bfeee8de678fd076c3bd0a89,Nepali,https://open.spotify.com/track/3hgep4O2fffL2iXpviblzB
Hawa Jastai,Hawa Jastai,John Rai,null,https://i.scdn.co/image/ab67616d0000b273e049fd7fa5d270e86a69e017,Nepali,https://open.spotify.com/track/0ucqJr2v8V7yGqzL04G75x
Manaka kura,Manaka kura,Purna Rai,null,https://i.scdn.co/image/ab67616d0000b273565d1079434e0e35fc8d5e04,Nepali,https://open.spotify.com/track/756Ghs7RyyVBSURU9i2IT5
Ko Haw Timi,Ko Haw Timi,Prashant ezekiel rai,null,https://i.scdn.co/image/ab67616d0000b273323026088363c1230e76593b,Nepali,https://open.spotify.com/track/24EoFd33Xtzp2SX6SOCcOT
BAIMANI,BAIMANI,Lov X,null,https://i.scdn.co/image/ab67616d0000b27376e54ffa68d1c47f4d4ba034,Nepali,https://open.spotify.com/track/4nvXZ5lVnyIc61XVevRMnd
