Name,Album,Artist,PreviewURL,Image,Language,SpotifyURL
Laaree Chootee,Dhoom,Call,null,https://i.scdn.co/image/ab67616d0000b2736e02f864cb0744b2210fdfce,Hindi,https://open.spotify.com/track/3juoXpZ1CRCbWHnWk5rVbV
Dholna,Dil To Pagal Hai,Uttam Singh,null,https://i.scdn.co/image/ab67616d0000b273b96494dc6eaedc90919365df,Hindi,https://open.spotify.com/track/6O8ZM3IKYcSBzpnuxpCAQr
Rahar,Rahar,Subani Moktan,null,https://i.scdn.co/image/ab67616d0000b273fc81b1b0a213f26d1b89c82c,Nepali,https://open.spotify.com/track/6XLrMyZ2uzYAV4kvaNelQ2
Maya ho ki maya jastai,Maya ho ki maya jastai,Subani Moktan,null,https://i.scdn.co/image/ab67616d0000b273e1153d248421e43e67b7c758,Nepali,https://open.spotify.com/track/3Muyg1VUDuBzMNs4lPEc8Y
Laakhau Hajarau,Laakhau Hajarau,Yabesh Thapa,null,https://i.scdn.co/image/ab67616d0000b27340b0f57a4e93e6ba5ba50c21,Nepali,https://open.spotify.com/track/7FmmE8lJwwX61kVB3xU0vb
Batash,Batash,Shashwot Khadka,null,https://i.scdn.co/image/ab67616d0000b273c3cfb6473bc92b43759df805,Nepali,https://open.spotify.com/track/1A4clpbjUAXFAb3KdEX4Z4
Sunideu,Sunideu,Apurva Tamang,null,https://i.scdn.co/image/ab67616d0000b273ec04b77c8b3cd9857ff400c1,Nepali,https://open.spotify.com/track/39YgIosRNaZgwRgYjkYgkM
Birsiney Hau Ki,Birsiney Hau Ki,The Elements,null,https://i.scdn.co/image/ab67616d0000b273b4e65dbf74fe87c48186c595,Nepali,https://open.spotify.com/track/0Ley2dKfWsTgMEZGES12Ep
Kholai Khola,Kholai Khola,Neetesh Jung Kunwar,null,https://i.scdn.co/image/ab67616d0000b273e33ccb95e40318ad3be9a591,Nepali,https://open.spotify.com/track/4KWWotE0IbxApQFNvtCegt
Hajaraw Rahara,Hajaraw Rahara,Anmol Gurung,null,https://i.scdn.co/image/ab67616d0000b27330277e83db7aa177922d1583,Nepali,https://open.spotify.com/track/6eQXGOgY1uW7g540ZEhwSG
MAAT LAGYO,MAAT LAGYO,Anmol Gurung,null,https://i.scdn.co/image/ab67616d0000b273b42d6e386a50e9f9e575d500,Nepali,https://open.spotify.com/track/2kgSNPTKRhmfMINJtgYUe2
Timro Muskan Ley,Timro Muskan Ley,Anmol Gurung,null,https://i.scdn.co/image/ab67616d0000b273a59f70e62886c43ebbdf8f60,Nepali,https://open.spotify.com/track/7AR7bGt1tHC2J83x8lUfpO
Namari Baachey,La Hai,Adrian Pradhan,null,https://i.scdn.co/image/ab67616d0000b273b033b2b90a35bf3cd082d76c,Nepali,https://open.spotify.com/track/2bGBpFmp6XyPC2uajtzXyR
Shishir Jhain,Khooshi,Adrian Pradhan,null,https://i.scdn.co/image/ab67616d0000b273252a637e1b5175d2b2b87fc1,Nepali,https://open.spotify.com/track/18wIeCcHhriAYlMQsgwujK
Prem Patra,Mhz - Megahertz,Anil Singh,null,https://i.scdn.co/image/ab67616d0000b27346ad9ba5c33bf5d753eba455,Nepali,https://open.spotify.com/track/0967n3saynELzzpXEHlxFB
Runna Bhanthe,School Pathashala,Sugam Pokharel,null,https://i.scdn.co/image/ab67616d0000b2739b571d42495a6d036aebe0d0,Nepali,https://open.spotify.com/track/2QTkbFOl4bLPucKc5NcY8K
Sayad Timro Batoma,"Mongolian Heart, Vol. 03",Raju Lama,null,https://i.scdn.co/image/ab67616d0000b273c7df2c5edf995cc9e33c8a9e,Nepali,https://open.spotify.com/track/3hyqCR9rg6z1H3iJVq6My7
Chulesima,Soul,Sanjeev Singh,null,https://i.scdn.co/image/ab67616d0000b2737e5f51f929e29c400b46858f,Nepali,https://open.spotify.com/track/0muhJERENrhpgUIHW7uuPy
Jaba Sandhya Hunchha,Best of Me,Yogeshwor Amatya,null,https://i.scdn.co/image/ab67616d0000b273a8221a243a787dbb605a939f,Nepali,https://open.spotify.com/track/6JLMhyPkX5oOt7GVKbgXkb
Priya,Tuborg Open Sessions Season 1,Deepak Bajracharya,null,https://i.scdn.co/image/ab67616d0000b273828c2bf15dd0975c972aa708,Nepali,https://open.spotify.com/track/1AZDmBlCozzE6Ugy6aoryK
Malai Angali Deu,Malai Angali Deu,Sabin Rai,null,https://i.scdn.co/image/ab67616d0000b273ff15b3d7fa92db092e6dd15c,Nepali,https://open.spotify.com/track/6IpQ6JzHhGsvC4PtyGbzzm
Nachahe Ko Hoina,Mero Prayas,The Edge Band,null,https://i.scdn.co/image/ab67616d0000b27339db074a8ff3af4d6a5ba17a,Nepali,https://open.spotify.com/track/4kRc7p2V90iXGJpFOksF6q
Nachodnu Yo Saath,Mero Prayas,The Edge Band,null,https://i.scdn.co/image/ab67616d0000b27339db074a8ff3af4d6a5ba17a,Nepali,https://open.spotify.com/track/4bvuuyyNC2uMsXy6A3OGyw
Timro Yaad,Gantabya,The Edge Band,null,https://i.scdn.co/image/ab67616d0000b2739cfd5ce98a386384bffba129,Nepali,https://open.spotify.com/track/3YLNwY5CrVPChgDq6xmxXC
Gahiro,Monkey Temple Nepal,Monkey Temple Nepal,null,https://i.scdn.co/image/ab67616d0000b273a09808880956734e78db1534,Nepali,https://open.spotify.com/track/5PBmMWG5LWmAtriB9ehl8B
Sangai Bachauna,Monkey Temple Nepal,Monkey Temple Nepal,null,https://i.scdn.co/image/ab67616d0000b273a09808880956734e78db1534,Nepali,https://open.spotify.com/track/5shSZpogWRjnSUUUks3nQq
Ajambari,Monkey Temple Nepal,Monkey Temple Nepal,null,https://i.scdn.co/image/ab67616d0000b273a09808880956734e78db1534,Nepali,https://open.spotify.com/track/6I2Bm5ZDQra6nvO39KQQut
Mero Maya,Monkey Temple,Monkey Temple Nepal,null,https://i.scdn.co/image/ab67616d0000b273c8fab1eb2d2eaf8bbda39f46,Nepali,https://open.spotify.com/track/4IDT1Oq63aB1I7BpNqUaqp
Timi Bhane,Jo Jas Sanga Sambandhit Chha,Albatross,null,https://i.scdn.co/image/ab67616d0000b2734082d8b7b9b6752fe3bac19f,Nepali,https://open.spotify.com/track/2nDAf3plZCm18W8i20hpQ8
Nischal,Atti Bhayo,Albatross,null,https://i.scdn.co/image/ab67616d0000b273e1ce6eb15b326f0faba22207,Nepali,https://open.spotify.com/track/5F3vGwldN4pLHUNyBR2JjU
Sadhai Sadhai,Mantra 20th Anniversary Special Edition,Mantra Band,null,https://i.scdn.co/image/ab67616d0000b2737098d00a2392882bbd379403,Nepali,https://open.spotify.com/track/7BiYEnfjoOj6pGxWDu0f4N
Timro Laagi,Tuborg Open Sessions Season 2,Sabin Rai & The Pharaoh,null,https://i.scdn.co/image/ab67616d0000b27382e152127365058070265471,Nepali,https://open.spotify.com/track/6hoKI9q3V5v82Qwv8clqb0
Samjhi Baschhu,Satabdi,1974 A.D,null,https://i.scdn.co/image/ab67616d0000b27310b0a9a9481457f21aabcc96,Nepali,https://open.spotify.com/track/1vTBGwcCKOeCaBSkUHVAqA
Harpal,Harpal,Naren Limbu,null,https://i.scdn.co/image/ab67616d0000b2737b3104573fb83a98a7dc56ff,Nepali,https://open.spotify.com/track/1Dqj8b2F4kMGP5R1DlfB6N
Aatma,Aash,Naren Limbu,null,https://i.scdn.co/image/ab67616d0000b273f1de79fa172e94bb0db9df19,Nepali,https://open.spotify.com/track/61lXMbVla13i5vK7Mdfyq5
Namuna - Kripa Unplugged,Namuna (Kripa Unplugged),Sabin Rai & The Pharaoh,null,https://i.scdn.co/image/ab67616d0000b27322f96739a50f89a754f7c2c2,Nepali,https://open.spotify.com/track/3RrPpMxX3FKfBxuVsUw04G
Syndicate,Syndicate - Single,Bipul Chettri,null,https://i.scdn.co/image/ab67616d0000b2730ba0e75dfe96f4e9b6b12ab8,Nepali,https://open.spotify.com/track/0Ai5lxcQ7WfxLtZn6h9PG1
Junkeri,Maya,Bipul Chettri,null,https://i.scdn.co/image/ab67616d0000b273fe775959bcee00b90774cb63,Nepali,https://open.spotify.com/track/4LQPSiu5Ezao5HSSN7CeEs
Sirfula Siraima,Sirfula Siraima,Nepathya,null,https://i.scdn.co/image/ab67616d0000b2738e7996962f2709f8e70e154e,Nepali,https://open.spotify.com/track/5MuQR46Qb20BO7YxYGbtQq
Taal Ko Pani,Bheda Ko Oon Jasto,Nepathya,null,https://i.scdn.co/image/ab67616d0000b27362f9dfafe3122f6884e17a5c,Nepali,https://open.spotify.com/track/57Q0iFGcFceluUdzjHSfBJ
Prakriti,"Collection, Vol. 1",The Shadows 'Nepal',null,https://i.scdn.co/image/ab67616d0000b273a54f6cd64327e4bf305089a6,Nepali,https://open.spotify.com/track/0p4BMnH0ckECt69sGeHFti
Hidne Maanche Ladcha,"Collection, Vol. 1",The Shadows 'Nepal',null,https://i.scdn.co/image/ab67616d0000b273a54f6cd64327e4bf305089a6,Nepali,https://open.spotify.com/track/4XXDwEVbpXydTZabXnurBO
Aparibhasit,Aparibhasit,Swar,null,https://i.scdn.co/image/ab67616d0000b27332776c27af4a11038cab455a,Nepali,https://open.spotify.com/track/2JCf3KTUszJHxElHPYof2D
K paye?,K paye?,Swar,null,https://i.scdn.co/image/ab67616d0000b2735425d75803f6410adef662eb,Nepali,https://open.spotify.com/track/0jpuPPdIVhIf9Pf49tOLoD
Gauthali,Gauthali,Pahenlo Batti Muni,null,https://i.scdn.co/image/ab67616d0000b273a52cf9ccc5dc50acee9305fb,Nepali,https://open.spotify.com/track/04CFfviLKA4NmRLw1KK4zu
Marijau,Marijau,Bikki Gurung,null,https://i.scdn.co/image/ab67616d0000b273009e6824cb79b7325f25510c,Nepali,https://open.spotify.com/track/3o1fFTtPgaWW5qB5zD11AK
Marijau2,Bholi,Bikki Gurung,null,https://i.scdn.co/image/ab67616d0000b27309d64fd6f288b34b6f1f4951,Nepali,https://open.spotify.com/track/0uvdI3JNU3xmkFy1ZACiRO
Mayalu,Mayalu,Vek,null,https://i.scdn.co/image/ab67616d0000b2734ccaeba1bbdcc4e214ae8e92,Nepali,https://open.spotify.com/track/7lLeoZv3rPnfbh9AsJDJWq
Lai Bari Lai,Lai Bari Lai,Vek,null,https://i.scdn.co/image/ab67616d0000b27391ff51b92ad8e8149be6376d,Nepali,https://open.spotify.com/track/3FDodFJ29tJSya96sW74Pt
Eklai Jiuna Sikey,Eklai Jiuna Sikey,Vek,null,https://i.scdn.co/image/ab67616d0000b273cba3c78e7a129014990d7ac9,Nepali,https://open.spotify.com/track/0iKJv40QPeHSCdmVqHeKoO
